"","strain","clade","MTL","zygosity","line","rep","enviro","all0.1","all0.1.sd","all0.1.se","place","col","place72","col72","col72a","all0.1.72","all0.1.72.sd","all0.1.72.se","all10.1","all10.1.sd","all10.1.se","all10.1.72","all10.1.72.sd","all10.1.72.se","t0.G1.1","t10.G1.1","t10.G1.2","t10.G1.3","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10","line.1","rep.1","change24","change48","change72","place.1","place72.1","col.1","col72.1","cola","col72a.1","lr","pch","delta1.24","delta1.72","change24.SMG","change48.SMG","change72.SMG","place72_MIC"
"3_7","3","4","_/_","hom","3","7","1",0.320875,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.79225,NA,NA,0.734,0.209303607231218,0.209303607231218,1.347,0.0438406204335658,0.0438406204335658,161,169.669303797468,270.174050632911,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.373767436267436,0.493059476755129,0.638929193267557,"3","7",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-7",24,0.413125,0.55475,0.25978862082875,0.313501213993781,0.369483780412526,3
"3_8","3","4","_/_","hom","3","8","1",0.365875,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.8375,NA,NA,0.927,0.0113137084989848,0.0113137084989848,1.4845,0.119501046020527,0.119501046020527,164,229.107594936709,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,1,0.113978815438686,0.179558262761348,0.26944541285503,0.505547337278107,0.691377055306427,0.799701693610469,"3","8",0,0,0.9375,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-8",21,0.561125,0.647,0.391568521839421,0.51181879254508,0.530256280755439,3
"3_9","3","4","_/_","hom","3","9","1",0.294125,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.75325,NA,NA,0.738,0.162634559672906,0.162634559672906,1.3845,0.0728319984622144,0.0728319984622144,170.5,314.482594936709,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.397282104775151,0.638311878291398,0.740746152347555,"3","9",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-9",21,0.443875,0.63125,0.283303289336465,0.458753615530051,0.471300739492525,3
"3_10","3","4","_/_","hom","3","10","1",0.275375,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.69,NA,NA,0.6855,0.102530483272049,0.102530483272049,1.228,0.0395979797464467,0.0395979797464467,160,232.349683544304,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.367349726775956,0.531439393939394,0.658863282769351,"3","10",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-10",21,0.410125,0.538,0.25337091133727,0.351881131178046,0.38941786991432,3
"3_11","3","4","_/_","hom","3","11","1",0.2525,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.612,NA,NA,0.6205,0.0799030662740799,0.0799030662740799,1.273,0.223445742854949,0.223445742854949,162.5,229.107594936709,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.38259511641113,0.516823272589218,0.656444759206799,"3","11",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-11",21,0.368,0.661,0.268616300972444,0.33726500982787,0.386999346351768,3
"3_12","3","4","_/_","hom","3","12","1",0.194375,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.465125,NA,NA,0.628,0.267286363288515,0.267286363288515,1.46,0.0155563491861041,0.0155563491861041,167,173.992088607595,NA,NA,0.0625,0.0625,0.0625,0.5,0.0625,4,0.113978815438686,0.179558262761348,0.26944541285503,0.404988123515439,0.517249283667622,0.758635831381733,"3","12",0.4375,0,3.9375,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-12",21,0.433625,0.994875,0.291009308076754,0.337691020906274,0.489190418526702,3
"4_1","4","1","_/_","hom","4","1","1",0.5595,NA,NA,"8","#29AF7FFF",5,"#74D055FF","#74D05580",1.00875,NA,NA,1.146,0.302641702347842,0.302641702347842,1.7965,0.0289913780286484,0.0289913780286484,166,223.704113924051,NA,NA,0.5,0.5,0.5,1,1,1,0.083271407815609,0.125029706889975,0.235159636067069,0.182941988950276,0.313172043010753,0.439826565143824,"4","1",0.5,0.5,0.5,8,5,"#29AF7FFF","#74D055FF","#29AF7F80","#74D05580","4-1",21,0.5865,0.78775,0.0996705811346673,0.188142336120777,0.204666929076755,10
"4_2","4","1","_/_","hom","4","2","1",0.548625,NA,NA,"8","#29AF7FFF",5,"#74D055FF","#74D05580",0.9275,NA,NA,1.3665,0.286378246380552,0.286378246380552,1.816,0.0197989898732233,0.0197989898732233,168.5,180.476265822785,NA,NA,0.5,0.5,0.5,1,1,1,0.083271407815609,0.125029706889975,0.235159636067069,0.111987704918033,0.124309994189425,0.229036827195467,"4","2",0.5,0.5,0.5,8,5,"#29AF7FFF","#74D055FF","#29AF7F80","#74D05580","4-2",21,0.817875,0.8885,0.0287162971024238,-0.000719712700550504,-0.00612280887160174,10
"4_3","4","1","_/_","hom","4","3","1",0.563875,NA,NA,"8","#29AF7FFF",5,"#74D055FF","#74D05580",1.01525,NA,NA,1.5115,0.0629325035256027,0.0629325035256027,1.816,0.0353553390593274,0.0353553390593274,168,166.427215189873,NA,NA,0.5,0.5,0.5,1,1,1,0.083271407815609,0.125029706889975,0.235159636067069,0.0837193911317009,0.0910364145658263,0.12888672959467,"4","3",0.5,0.5,0.5,8,5,"#29AF7FFF","#74D055FF","#29AF7F80","#74D05580","4-3",21,0.947625,0.80075,0.000447983316091874,-0.0339932923241489,-0.1062729064724,10
"4_4","4","1","_/_","hom","4","4","1",0.5375,NA,NA,"8","#29AF7FFF",5,"#74D055FF","#74D05580",0.95325,NA,NA,1.6265,0.111015764646288,0.111015764646288,1.845,0.0791959594928934,0.0791959594928934,168,166.427215189873,NA,NA,0.5,0.5,0.5,1,1,4,0.083271407815609,0.125029706889975,0.235159636067069,0.105753968253968,0.214230661434978,0.415709739900387,"4","4",0.5,0.5,3.5,8,5,"#29AF7FFF","#74D055FF","#29AF7F80","#74D05580","4-4",21,1.089,0.89175,0.0224825604383593,0.0892009545450023,0.180550103833318,10
"4_5","4","1","_/_","hom","4","5","1",0.486625,NA,NA,"8","#29AF7FFF",5,"#74D055FF","#74D05580",1.06325,NA,NA,1.033,0.111722871427475,0.111722871427475,1.8305,0.050204581464245,0.050204581464245,169.5,172.911392405063,NA,NA,0.5,0.5,0.5,1,1,1,0.083271407815609,0.125029706889975,0.235159636067069,0.0733506944444445,0.0616873940079141,0.118486696230599,"4","5",0.5,0.5,0.5,8,5,"#29AF7FFF","#74D055FF","#29AF7F80","#74D05580","4-5",21,0.546375,0.76725,-0.00992071337116453,-0.0633423128820612,-0.116672939836471,10
"4_6","4","1","_/_","hom","4","6","1",0.487125,NA,NA,"8","#29AF7FFF",5,"#74D055FF","#74D05580",0.813375,NA,NA,0.959,0.00848528137423858,0.00848528137423858,1.674,0.114551298552221,0.114551298552221,169.5,207.493670886076,NA,NA,0.5,0.5,0.5,0.5,1,1,0.083271407815609,0.125029706889975,0.235159636067069,0.302795031055901,0.726246334310851,0.859953970080552,"4","6",0,0.5,0.5,8,5,"#29AF7FFF","#74D055FF","#29AF7F80","#74D05580","4-6",21,0.471875,0.860625,0.219523623240292,0.601216627420875,0.624794334013483,10
