Line,t0 G1.1,t0b G1.1,t3 G1.1,t3 G1.2,t3 weird,t5 G1.1,t5 G1.2,t5 weird,t8 G1.1,t8 G1.2,weird,t10 G1.1,t10 G1.2,t10 G1.3,t10 weird,t10 WD,t10b G1.1,t10b G1.2,,
SC-A11,182,157,192,,,211,281,x,143,,,177,322,,,0,172,,,
SC-A12,184,171,181,,,218,,,138,,,165,328,,,1,156,,,
FH-B01,146,171,124,153,,222,,,122,,,170,,,,1,177,,,
FH-B02,162,170,168,129,,227,,,114,,,177,,,,0,180,,,
FH-B03,180,169,149,,,237,,,126,,,180,,,,0,180,,,
FH-B04,180,168,175,135,,235,,,124,,,153,,,,1,172,216,,
FH-B05,145,170,141,,,223,,,123,,,164,,,,0,180,,,
FH-B06,159,170,153,,,235,,,122,,,165,,,,0,178,,,
FH-B07,173,170,150,,,234,,,125,,,163,,,,0,180,,,
FH-B08,167,171,147,,,222,,,127,,,167,,,,0,181,,,
FH-B09,182,171,156,,,229,,,123,,,149,,,,0,173,,,
FH-B10,173,173,158,,,234,,,119,,,173,,,,1,170,,,
FH-B11,170,172,155,,,214,,,127,,,158,,,,1,163,,,
FH-B12,171,174,162,,,232,,,133,,,170,,,,0,165,,,messy
DS-C01,188,174,158,,messy,,,x,161,,,246,,,messy,1,176,232,,x
DS-C02,188,173,144,,,223,,,143,,,167,,,,1,190,,,
DS-C03,184,175,183,,messy,230,,x,149,220,,366,,,mess,1,175,,,
DS-C04,188,173,164,,v messy,226,,,126,,,170,344,,,1,279,177,,
DS-C05,131,172,179,,,232,,,153,,,224,,,,0,183,,,x
DS-C06,181,170,182,,,228,,x,145,235,,278,203,,messy,-1,188,354,,
DS-C07,132,174,136,,,213,,,131,,,360,181,,,1,186,359,,
DS-C08,180,176,185,95.7,,262,,,152,,,219,,,messy,-1,202,,,
DS-C09,182,174,177,,,,,x,137,,,212,,,messy,0,199,,,
DS-C10,184,175,176,,,224,,x,148,,,145,226,,,1,191,,,
DS-C11,186,179,157,,,214,,,130,,,162,,,,0,172,,,
DS-C12,181,180,166,,,256,,,146,,,164,209,,messy,-1,175,,,
T1-D01,190,175,186,,,235,,,131,,,187,,,,0,187,,,
T1-D02,184,171,189,,,244,,,147,,,198,246,,,1,203,,,
T1-D03,174,164,191,,,248,,,147,,,239,,,,0,195,149,271,
T1-D04,185,162,190,,,248,,,147,,,243,,,,0,185,,,x
T1-D05,191,163,177,,,230,,,135,,,186,,,,1,182,,,
T1-D06,192,162,188,,,248,,,143,,,229,,,,1,191,246,,x
T1-D07,189,162,178,,,248,,,138,,,215,,,,1,200,,,
T1-D08,194,164,197,,,281,,x,150,,,193,239,,,1,195,240,,x
T1-D09,190,170,207,,,244,,,136,,,180,,,,1,186,,,
T1-D10,184,173,189,,,228,,,133,,,178,83,,?,2,186,,,
T1-D11,190,172,210,,,278,,,145,,,198,242,,,0,191,231,,x
T1-D12,186,173,222,,,254,278,333,169,,,194,254,,,0,194,243,,
