
 "line","enviro","col","gen","data"
19,0,5,"t0",1.774
19,0,6,"t0",1.752
19,0,7,"t0",1.704
19,0,8,"t0",1.639
19,0,9,"t0",1.62
19,0,10,"t0",1.697
19,0,11,"t0",1.368
19,0,12,"t0",1.106
19,1,1,"t0",0.426
19,1,2,"t0",0.52
19,1,3,"t0",0.515
19,1,4,"t0",0.405
19,1,5,"t0",0.427
19,1,6,"t0",0.476
19,1,7,"t0",0.551
19,1,8,"t0",0.562
19,1,9,"t0",0.439
19,1,10,"t0",0.492
19,1,11,"t0",0.4
19,1,12,"t0",0.427
19,8,1,"t0",0.15
19,8,2,"t0",0.16
19,8,3,"t0",0.152
19,8,4,"t0",0.176
19,8,5,"t0",0.144
19,8,6,"t0",0.15
19,8,7,"t0",0.156
19,8,8,"t0",0.149
19,8,9,"t0",0.154
19,8,10,"t0",0.168
19,8,11,"t0",0.159
19,8,12,"t0",0.199
19,32,1,"t0",0.161
19,32,2,"t0",0.161
19,32,3,"t0",0.145
19,32,4,"t0",0.147
19,32,5,"t0",0.142
19,32,6,"t0",0.148
19,32,7,"t0",0.147
19,32,8,"t0",0.141
19,32,9,"t0",0.146
19,32,10,"t0",0.17
19,32,11,"t0",0.174
19,32,12,"t0",0.181
20,0,1,"t0",1.799
20,0,2,"t0",1.75
20,0,3,"t0",1.738
20,0,4,"t0",1.744
20,0,5,"t0",1.519
20,0,6,"t0",1.681
20,0,7,"t0",1.621
20,0,8,"t0",1.494
20,0,9,"t0",1.471
20,0,10,"t0",1.603
20,0,11,"t0",1.073
20,0,12,"t0",0.855
20,1,1,"t0",1.1
20,1,2,"t0",0.93
20,1,3,"t0",0.677
20,1,4,"t0",1.119
20,1,5,"t0",0.687
20,1,6,"t0",0.942
20,1,7,"t0",0.732
20,1,8,"t0",0.465
20,1,9,"t0",0.803
20,1,10,"t0",0.817
20,1,11,"t0",0.598
20,1,12,"t0",0.497
20,8,1,"t0",0.173
20,8,2,"t0",0.186
20,8,3,"t0",0.159
20,8,4,"t0",0.162
20,8,5,"t0",0.143
20,8,6,"t0",0.159
20,8,7,"t0",0.158
20,8,8,"t0",0.169
20,8,9,"t0",0.179
20,8,10,"t0",0.159
20,8,11,"t0",0.144
20,8,12,"t0",0.146
20,32,1,"t0",0.167
20,32,2,"t0",0.152
20,32,3,"t0",0.169
20,32,4,"t0",0.148
20,32,5,"t0",0.128
20,32,6,"t0",0.152
20,32,7,"t0",0.146
