"line","enviro","col","gen","data"
1,0,11,"t10",1.887
1,0,12,"t10",1.859
1,1,1,"t10",1.898
1,1,2,"t10",1.87
1,1,3,"t10",1.859
1,1,4,"t10",1.881
1,1,5,"t10",1.866
1,1,6,"t10",1.849
1,1,7,"t10",1.851
1,1,8,"t10",1.862
1,1,9,"t10",1.875
1,1,10,"t10",1.837
1,1,11,"t10",1.879
1,1,12,"t10",1.855
1,8,1,"t10",0.563
1,8,2,"t10",0.486
1,8,3,"t10",0.47
1,8,4,"t10",0.608
1,8,5,"t10",0.411
1,8,6,"t10",0.471
1,8,7,"t10",0.531
1,8,8,"t10",0.406
1,8,9,"t10",0.501
1,8,10,"t10",0.542
1,8,11,"t10",0.487
