"line","enviro","rep","gen","data","time"
"10",1,2,"t0d",0.844,24
"10",1,3,"t0d",0.7045,24
"10",1,4,"t0d",0.57,24
"10",1,5,"t0d",0.72,24
"10",1,6,"t0d",0.6045,24
"10",1,7,"t0d",0.486,24
"10",1,8,"t0d",0.3475,24
"10",1,9,"t0d",0.18,24
"10",1,10,"t0d",0.783,24
"10",1,11,"t0d",0.468,24
"10",1,12,"t0d",0.491,24
"10",128,1,"t0d",0.1705,24
"10",128,2,"t0d",0.512,24
"10",128,3,"t0d",0.338,24
"10",128,4,"t0d",0.388,24
"10",128,5,"t0d",0.448,24
"10",128,6,"t0d",0.3085,24
"10",128,7,"t0d",0.3005,24
"10",128,8,"t0d",0.2,24
"10",128,9,"t0d",0.136,24
"10",128,10,"t0d",0.545,24
"10",128,11,"t0d",0.2145,24
"10",128,12,"t0d",0.278,24
"10",512,1,"t0d",0.201,24
"10",512,2,"t0d",0.486,24
"10",512,3,"t0d",0.3345,24
"10",512,4,"t0d",0.3405,24
"10",512,5,"t0d",0.4475,24
"10",512,6,"t0d",0.307,24
"10",512,7,"t0d",0.252,24
"10",512,8,"t0d",0.21,24
"10",512,9,"t0d",0.115,24
"10",512,10,"t0d",0.3995,24
"10",512,11,"t0d",0.213,24
"10",512,12,"t0d",0.269,24
"11",0,1,"t0d",1.3905,24
"11",0,2,"t0d",1.3505,24
"11",0,3,"t0d",1.193,24
"11",0,4,"t0d",1.357,24
"11",0,5,"t0d",1.2225,24
"11",0,6,"t0d",1.3965,24
"11",0,7,"t0d",1.397,24
"11",0,8,"t0d",1.474,24
"11",0,9,"t0d",1.391,24
"11",0,10,"t0d",1.401,24
"11",0,11,"t0d",1.5295,24
"11",0,12,"t0d",1.444,24
"11",1,1,"t0d",0.771,24
"11",1,2,"t0d",0.448,24
"11",1,3,"t0d",0.18,24
"11",1,4,"t0d",0.2815,24
"11",1,5,"t0d",0.1885,24
"11",1,6,"t0d",0.319,24
"11",1,7,"t0d",0.3575,24
"11",1,8,"t0d",0.6885,24
"11",1,9,"t0d",0.3345,24
"11",1,10,"t0d",0.2865,24
"11",1,11,"t0d",0.499,24
"11",1,12,"t0d",0.2145,24
"11",128,1,"t0d",0.2075,24
"11",128,2,"t0d",0.2425,24
"11",128,3,"t0d",0.1215,24
"11",128,4,"t0d",0.2225,24
"11",128,5,"t0d",0.167,24
"11",128,6,"t0d",0.2665,24
"11",128,7,"t0d",0.304,24
"11",128,8,"t0d",0.3925,24
"11",128,9,"t0d",0.2555,24
"11",128,10,"t0d",0.2765,24
"11",128,11,"t0d",0.4585,24
"11",128,12,"t0d",0.2115,24
"11",512,1,"t0d",0.8415,24
"11",512,2,"t0d",0.8475,24
"11",512,3,"t0d",0.595,24
"11",512,4,"t0d",0.842,24
"11",512,5,"t0d",0.5965,24
"11",512,6,"t0d",0.932,24
"11",512,7,"t0d",0.988,24
"11",512,8,"t0d",1.102,24
"11",512,9,"t0d",0.804,24
