line,gen,enviro,Time,OD.24,OD.48,OD.72
A10,MA4_t0,1,24,1.715,1.942,
A10,MA4_t0,1,24,1.713,1.9,
A10,MA4_t0,1,24,1.711,1.868,
A10,MA4_t0,1,24,1.712,1.881,
A10,MA4_t0,1,24,1.706,1.871,
A10,MA4_t0,1,24,1.747,1.886,
A10,MA4_t0,1,24,1.742,1.892,
A10,MA4_t0,1,24,2.379,2.598,
A10,MA4_t0,1,24,1.669,1.86,
A10,MA4_t0,1,24,1.708,1.907,
A10,MA4_t0,1,24,1.716,1.876,
A10,MA4_t0,1,24,1.693,1.852,
A11,MA4_t0,1,24,0.433,0.642,
A11,MA4_t0,1,24,0.641,0.868,
A11,MA4_t0,1,24,0.741,1.031,
A11,MA4_t0,1,24,0.652,0.852,
A11,MA4_t0,1,24,0.97,1.222,
A11,MA4_t0,1,24,0.811,1.04,
A11,MA4_t0,1,24,2.245,2.43,
A11,MA4_t0,1,24,0.812,1.018,
A11,MA4_t0,1,24,0.777,0.961,
A11,MA4_t0,1,24,0.433,0.572,
A11,MA4_t0,1,24,0.69,0.839,
A11,MA4_t0,1,24,0.782,0.937,
A12,MA4_t0,1,24,1.917,1.971,
A12,MA4_t0,1,24,1.885,1.961,
A12,MA4_t0,1,24,1.855,1.947,
A12,MA4_t0,1,24,1.839,1.978,
A12,MA4_t0,1,24,1.93,1.967,
A12,MA4_t0,1,24,1.901,1.966,
A12,MA4_t0,1,24,1.874,1.96,
A12,MA4_t0,1,24,1.802,1.985,
A12,MA4_t0,1,24,1.825,1.99,
A12,MA4_t0,1,24,1.826,1.998,
A12,MA4_t0,1,24,1.819,1.987,
A12,MA4_t0,1,24,1.938,2.008,
A13,MA4_t0,1,24,0.297,1.657,
A13,MA4_t0,1,24,1.51,2.029,
A13,MA4_t0,1,24,1.664,1.949,
A13,MA4_t0,1,24,0.637,1.923,
A13,MA4_t0,1,24,0.457,1.287,
A13,MA4_t0,1,24,0.722,1.947,
A13,MA4_t0,1,24,0.644,1.395,
A13,MA4_t0,1,24,2.169,2.509,
A13,MA4_t0,1,24,0.291,0.896,
A13,MA4_t0,1,24,0.847,1.971,
A13,MA4_t0,1,24,0.151,0.553,
A13,MA4_t0,1,24,1.85,2.004,
A14,MA4_t0,1,24,1.269,1.562,
A14,MA4_t0,1,24,1.295,1.875,
A14,MA4_t0,1,24,1.275,1.64,
A14,MA4_t0,1,24,1.057,1.517,
A14,MA4_t0,1,24,1.478,2.023,
A14,MA4_t0,1,24,1.487,1.888,
A14,MA4_t0,1,24,1.381,1.667,
A14,MA4_t0,1,24,1.188,1.582,
A14,MA4_t0,1,24,1.4,1.65,
A14,MA4_t0,1,24,1.401,1.903,
A14,MA4_t0,1,24,1.231,1.59,
A14,MA4_t0,1,24,1.313,2.023,
A15,MA4_t0,1,24,1.344,1.61,
A15,MA4_t0,1,24,1.578,1.74,
A15,MA4_t0,1,24,1.307,1.635,
A15,MA4_t0,1,24,1.267,1.658,
A15,MA4_t0,1,24,1.726,2.02,
A15,MA4_t0,1,24,1.869,1.963,
A15,MA4_t0,1,24,1.436,1.696,
A15,MA4_t0,1,24,1.399,1.681,
A15,MA4_t0,1,24,1.195,1.805,
A15,MA4_t0,1,24,1.713,2.03,
A15,MA4_t0,1,24,1.434,1.709,
A15,MA4_t0,1,24,1.561,1.699,
A16,MA4_t0,1,24,1.507,1.707,
A16,MA4_t0,1,24,1.638,1.814,
A16,MA4_t0,1,24,1.777,1.908,
A16,MA4_t0,1,24,1.695,1.864,
A16,MA4_t0,1,24,1.784,2.021,
A16,MA4_t0,1,24,1.774,1.95,
A16,MA4_t0,1,24,1.7,1.86,
A16,MA4_t0,1,24,1.755,1.894,
A16,MA4_t0,1,24,1.621,1.823,
A16,MA4_t0,1,24,1.705,1.873,
A16,MA4_t0,1,24,1.696,1.851,
A16,MA4_t0,1,24,1.673,1.82,
A09,MA4_t0,8,24,0.226,1.257,
A09,MA4_t0,8,24,1.616,1.989,
A09,MA4_t0,8,24,0.858,1.126,
A09,MA4_t0,8,24,0.412,0.499,
A09,MA4_t0,8,24,1.036,1.91,
A09,MA4_t0,8,24,0.548,0.794,
A09,MA4_t0,8,24,0.395,1.013,
A09,MA4_t0,8,24,2.337,2.469,
A09,MA4_t0,8,24,0.622,1.877,
A09,MA4_t0,8,24,1.865,1.98,
A09,MA4_t0,8,24,0.441,1.015,
A09,MA4_t0,8,24,0.522,0.629,
A10,MA4_t0,8,24,0.306,1.039,
A10,MA4_t0,8,24,0.629,1.726,
A10,MA4_t0,8,24,0.504,1.405,
A10,MA4_t0,8,24,0.545,1.412,
A10,MA4_t0,8,24,0.498,1.377,
A10,MA4_t0,8,24,0.487,1.351,
A10,MA4_t0,8,24,0.463,1.32,
A10,MA4_t0,8,24,0.451,1.394,
A10,MA4_t0,8,24,0.414,1.312,
A10,MA4_t0,8,24,0.406,1.66,
A10,MA4_t0,8,24,0.39,1.385,
A10,MA4_t0,8,24,0.444,1.41,
A11,MA4_t0,8,24,0.339,0.511,
A11,MA4_t0,8,24,0.337,0.454,
A11,MA4_t0,8,24,0.252,0.316,
A11,MA4_t0,8,24,0.278,0.367,
A11,MA4_t0,8,24,0.254,0.321,
A11,MA4_t0,8,24,0.348,0.475,
A11,MA4_t0,8,24,0.354,0.418,
A11,MA4_t0,8,24,0.368,0.52,
A11,MA4_t0,8,24,0.318,0.411,
A11,MA4_t0,8,24,0.341,0.702,
A11,MA4_t0,8,24,1.751,1.93,
A11,MA4_t0,8,24,0.267,0.293,
A12,MA4_t0,8,24,1.806,1.982,
A12,MA4_t0,8,24,1.843,1.967,
A12,MA4_t0,8,24,1.845,1.998,
A12,MA4_t0,8,24,1.806,2.001,
A12,MA4_t0,8,24,1.901,1.996,
A12,MA4_t0,8,24,1.865,1.98,
A12,MA4_t0,8,24,1.838,1.995,
A12,MA4_t0,8,24,2.391,2.581,
A12,MA4_t0,8,24,1.812,2.011,
A12,MA4_t0,8,24,1.807,2.008,
A12,MA4_t0,8,24,1.792,1.985,
A12,MA4_t0,8,24,1.791,1.968,
A13,MA4_t0,8,24,0.297,1.841,
A13,MA4_t0,8,24,1.366,1.993,
A13,MA4_t0,8,24,1.682,2.026,
A13,MA4_t0,8,24,0.238,0.653,
A13,MA4_t0,8,24,0.306,1.894,
A13,MA4_t0,8,24,0.802,1.956,
A13,MA4_t0,8,24,0.242,0.635,
A13,MA4_t0,8,24,2.35,2.566,
A13,MA4_t0,8,24,0.127,0.495,
A13,MA4_t0,8,24,0.315,1.841,
A13,MA4_t0,8,24,0.08,0.347,
A13,MA4_t0,8,24,1.452,1.996,
A14,MA4_t0,8,24,0.448,0.737,
A14,MA4_t0,8,24,0.462,0.843,
A14,MA4_t0,8,24,0.59,0.974,
A14,MA4_t0,8,24,0.521,0.896,
A14,MA4_t0,8,24,0.923,2.001,
A14,MA4_t0,8,24,1.086,1.981,
A14,MA4_t0,8,24,0.529,0.877,
A14,MA4_t0,8,24,0.549,0.963,
A14,MA4_t0,8,24,0.457,0.732,
A14,MA4_t0,8,24,0.558,1.422,
A14,MA4_t0,8,24,0.486,0.795,
A14,MA4_t0,8,24,0.634,1.881,
A15,MA4_t0,8,24,0.36,0.551,
A15,MA4_t0,8,24,0.584,1.346,
A15,MA4_t0,8,24,0.479,0.844,
A15,MA4_t0,8,24,0.592,1.284,
A15,MA4_t0,8,24,1.566,2.021,
A15,MA4_t0,8,24,1.71,1.999,
A15,MA4_t0,8,24,0.55,1.532,
A15,MA4_t0,8,24,0.489,0.827,
A15,MA4_t0,8,24,0.915,1.963,
A15,MA4_t0,8,24,1.534,2.005,
A15,MA4_t0,8,24,0.429,0.706,
A15,MA4_t0,8,24,1.004,1.888,
A16,MA4_t0,8,24,0.315,0.516,
A16,MA4_t0,8,24,0.252,0.472,
A16,MA4_t0,8,24,0.371,0.566,
A16,MA4_t0,8,24,0.33,0.645,
A16,MA4_t0,8,24,1.062,2.009,
A16,MA4_t0,8,24,0.622,1.909,
A16,MA4_t0,8,24,0.34,0.575,
A16,MA4_t0,8,24,0.37,0.535,
A16,MA4_t0,8,24,0.338,0.589,
A16,MA4_t0,8,24,0.325,0.525,
A16,MA4_t0,8,24,0.39,0.547,
A16,MA4_t0,8,24,0.689,0.945,
A09,MA4_t0,128,24,0.206,0.223,
A09,MA4_t0,128,24,0.986,1.443,
A09,MA4_t0,128,24,0.473,0.6,
A09,MA4_t0,128,24,0.39,0.448,
A09,MA4_t0,128,24,0.711,0.883,
A09,MA4_t0,128,24,0.518,0.704,
A09,MA4_t0,128,24,0.356,0.413,
A09,MA4_t0,128,24,2.332,2.284,
A09,MA4_t0,128,24,0.391,0.473,
A09,MA4_t0,128,24,0.363,0.43,
A09,MA4_t0,128,24,0.32,0.365,
A09,MA4_t0,128,24,0.346,0.361,
A10,MA4_t0,128,24,0.379,0.864,
A10,MA4_t0,128,24,0.661,1.165,
A10,MA4_t0,128,24,0.666,1.294,
A10,MA4_t0,128,24,0.65,1.347,
A10,MA4_t0,128,24,0.608,1.051,
A10,MA4_t0,128,24,0.719,1.299,
A10,MA4_t0,128,24,0.57,1.213,
A10,MA4_t0,128,24,2.189,2.213,
A10,MA4_t0,128,24,0.502,1.173,
A10,MA4_t0,128,24,0.533,1.246,
A10,MA4_t0,128,24,0.426,1.26,
A10,MA4_t0,128,24,0.46,1.232,
A11,MA4_t0,128,24,0.332,0.458,
A11,MA4_t0,128,24,0.348,0.392,
A11,MA4_t0,128,24,0.355,0.353,
A11,MA4_t0,128,24,0.311,0.337,
A11,MA4_t0,128,24,0.269,0.275,
A11,MA4_t0,128,24,0.362,0.377,
A11,MA4_t0,128,24,0.31,0.306,
A11,MA4_t0,128,24,0.369,0.615,
A11,MA4_t0,128,24,0.381,0.434,
A11,MA4_t0,128,24,1.05,1.785,
A11,MA4_t0,128,24,0.362,0.466,
A11,MA4_t0,128,24,0.262,0.272,
A12,MA4_t0,128,24,0.557,0.753,
A12,MA4_t0,128,24,0.253,0.381,
A12,MA4_t0,128,24,0.252,0.385,
A12,MA4_t0,128,24,0.256,0.343,
A12,MA4_t0,128,24,0.289,0.493,
A12,MA4_t0,128,24,1.456,1.845,
A12,MA4_t0,128,24,0.241,0.362,
