"name","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10","SMG24.2","SMG48.2","SMG72.2","SMG24.10.2","SMG48.10.2","SMG72.10.2","line","rep","change24","change48","change72"
"8_6",0.5,1,1,4,1,512,0.135666666666667,0.324791666666667,0.504875,0.1358125,0.6749375,1.0976875,0.0852847189480853,0.191674043473984,0.297554147635185,0.198628884826325,0.412364441729036,0.642862371888726,"8","6",3.5,0,511
"8_7",0.5,0.5,1,1,1,4,0.106625,0.286958333333333,0.510583333333333,0.0797,0.17805,0.31175,0.0705191798941799,0.16914726397485,0.300696898311739,0.134742180896027,0.108122058600273,0.186704596496481,"8","7",0.5,0.5,3
"8_8",0.5,1,1,4,4,4,0.160125,0.312833333333333,0.495291666666667,0.0384375,0.275625,0.433875,0.0987207151664612,0.182623078419926,0.289686601354974,0.0263045337895637,0.157051282051282,0.246905676483141,"8","8",3.5,3,3
"8_9",0.5,1,1,1,4,4,0.156083333333333,0.299541666666667,0.496166666666667,0.19075,0.47165,0.6385,0.103383562399956,0.176408519827248,0.29237870752308,0.125061465333552,0.272708875397514,0.369342010122921,"8","9",0.5,3,3
"8_10",0.5,1,1,1,1,1,0.145291666666667,0.301583333333333,0.464958333333333,0.09375,0.30945,0.5048,0.0972826693449392,0.179007765741703,0.275857806783348,0.0770495171563592,0.187403482210447,0.304922983992751,"8","10",0.5,0,0
"8_11",0.5,0.5,1,1,1,1,0.146291666666667,0.280375,0.454916666666667,0.09325,0.08575,0.18545,0.0964984608619173,0.163388694638695,0.265102952602953,0.0752016129032258,0.0508902077151335,0.109880017775144,"8","11",0.5,0.5,0
"8_12",0.5,0.5,1,1,1,1,0.118541666666667,0.323875,0.5405,0.11245,0.2281,0.3653,0.0777322404371585,0.194402761104442,0.319680615111637,0.0871874394262454,0.136750599520384,0.218415545590433,"8","12",0.5,0.5,0
"9_1",0.000125,0.000125,0.000125,0.000125,0.000125,1,0.126541666666667,0.268375,0.369625,0.179,0.362875,0.583791666666667,0.0852706648697215,0.155715114592399,0.215493368313657,0.127697520955948,0.21109656777196,0.337354329191948,"9","1",0,0,0.999875
"9_2",0.000125,0.000125,0.000125,0.000125,0.000125,1,0.126541666666667,0.269625,0.368166666666667,0.173958333333333,0.369833333333333,0.5095,0.0861706957212575,0.156078147612156,0.214893720511698,0.169550032488629,0.218706879558447,0.294381048678319,"9","2",0,0,0.999875
"9_3",0.000125,0.000125,0.000125,1,1,1,0.120208333333333,0.278416666666667,0.361166666666667,0.0953,0.1781,0.2228,0.0821235411329348,0.16119071742172,0.209858609335658,0.0833406209007433,0.108136004857316,0.130235276925325,"9","3",0.999875,0.999875,0.999875
