"line","rep","enviro","data","exper"
9,7,32,0.258,"4"
9,8,0,1.889,"4"
9,8,1,1.066,"4"
9,8,8,0.297,"4"
9,8,32,0.313,"4"
9,9,0,1.887,"4"
9,9,1,1.271,"4"
9,9,8,0.338,"4"
9,9,32,0.372,"4"
9,10,0,1.863,"4"
9,10,1,1.052,"4"
9,10,8,0.32,"4"
9,10,32,0.496,"4"
9,11,0,1.882,"4"
9,11,1,1.316,"4"
9,11,8,0.34,"4"
9,11,32,0.474,"4"
9,12,0,1.718,"4"
9,12,1,1.234,"4"
9,12,8,0.334,"4"
9,12,32,0.413,"4"
10,1,0,1.817,"4"
10,1,1,1.745,"4"
10,1,8,1.604,"4"
10,1,32,1.64,"4"
10,2,0,1.797,"4"
10,2,1,1.703,"4"
10,2,8,1.584,"4"
10,2,32,1.578,"4"
10,3,0,1.816,"4"
10,3,1,1.725,"4"
10,3,8,1.615,"4"
10,3,32,1.588,"4"
10,4,0,1.815,"4"
10,4,1,1.733,"4"
10,4,8,1.592,"4"
10,4,32,1.552,"4"
10,5,0,1.801,"4"
10,5,1,1.716,"4"
10,5,8,1.561,"4"
10,5,32,1.545,"4"
10,6,0,1.799,"4"
10,6,1,1.714,"4"
10,6,8,1.591,"4"
10,6,32,1.566,"4"
10,7,0,1.785,"4"
10,7,1,1.733,"4"
10,7,8,1.563,"4"
10,7,32,1.602,"4"
10,8,0,1.807,"4"
10,8,1,1.729,"4"
10,8,8,1.58,"4"
10,8,32,1.612,"4"
10,9,0,1.818,"4"
10,9,1,1.736,"4"
10,9,8,1.608,"4"
10,9,32,1.558,"4"
10,10,0,1.772,"4"
10,10,1,1.694,"4"
10,10,8,1.611,"4"
10,10,32,1.598,"4"
10,11,0,1.792,"4"
10,11,1,1.703,"4"
10,11,8,1.606,"4"
10,11,32,1.623,"4"
10,12,0,1.775,"4"
10,12,1,1.713,"4"
10,12,8,1.652,"4"
10,12,32,1.63,"4"
11,1,0,1.912,"4"
11,1,1,0.348,"4"
11,1,8,0.379,"4"
11,1,32,0.433,"4"
11,2,0,1.887,"4"
11,2,1,0.439,"4"
11,2,8,0.44,"4"
11,2,32,0.453,"4"
11,3,0,1.902,"4"
11,3,1,0.408,"4"
11,3,8,0.419,"4"
11,3,32,0.365,"4"
11,4,0,1.868,"4"
11,4,1,0.43,"4"
11,4,8,0.413,"4"
11,4,32,0.424,"4"
11,5,0,1.873,"4"
11,5,1,0.414,"4"
11,5,8,0.387,"4"
11,5,32,0.432,"4"
11,6,0,1.878,"4"
11,6,1,0.398,"4"
11,6,8,0.423,"4"
11,6,32,0.456,"4"
11,7,0,1.865,"4"
11,7,1,0.402,"4"
11,7,8,0.43,"4"
11,7,32,0.476,"4"
11,8,0,1.87,"4"
11,8,1,0.413,"4"
11,8,8,0.409,"4"
11,8,32,0.427,"4"
11,9,0,1.86,"4"
11,9,1,0.446,"4"
11,9,8,0.485,"4"
11,9,32,0.448,"4"
11,10,0,1.847,"4"
11,10,1,0.398,"4"
11,10,8,0.429,"4"
11,10,32,0.537,"4"
11,11,0,1.868,"4"
11,11,1,0.377,"4"
11,11,8,0.532,"4"
11,11,32,0.435,"4"
11,12,0,1.824,"4"
11,12,1,0.435,"4"
11,12,8,0.367,"4"
11,12,32,0.459,"4"
12,1,0,1.796,"4"
12,1,1,1.794,"4"
12,1,8,1.78,"4"
12,1,32,1.76,"4"
12,2,0,1.797,"4"
12,2,1,1.764,"4"
12,2,8,1.775,"4"
12,2,32,1.75,"4"
12,3,0,1.776,"4"
12,3,1,1.785,"4"
12,3,8,1.782,"4"
12,3,32,1.755,"4"
12,4,0,1.792,"4"
12,4,1,1.792,"4"
12,4,8,1.79,"4"
12,4,32,1.779,"4"
12,5,0,1.785,"4"
12,5,1,1.788,"4"
12,5,8,1.769,"4"
12,5,32,1.746,"4"
12,6,0,1.792,"4"
12,6,1,1.786,"4"
12,6,8,1.776,"4"
12,6,32,1.77,"4"
12,7,0,1.8,"4"
12,7,1,1.774,"4"
12,7,8,1.773,"4"
12,7,32,1.749,"4"
12,8,0,1.784,"4"
12,8,1,1.809,"4"
12,8,8,1.788,"4"
12,8,32,1.783,"4"
12,9,0,1.801,"4"
12,9,1,1.799,"4"
12,9,8,1.779,"4"
12,9,32,1.765,"4"
12,10,0,1.755,"4"
12,10,1,1.775,"4"
12,10,8,1.765,"4"
12,10,32,1.746,"4"
12,11,0,1.797,"4"
12,11,1,1.805,"4"
12,11,8,1.783,"4"
12,11,32,1.752,"4"
12,12,0,1.751,"4"
12,12,1,1.785,"4"
12,12,8,1.78,"4"
12,12,32,1.758,"4"
13,1,0,1.832,"4"
13,1,1,1.515,"4"
13,1,8,1.108,"4"
13,1,32,1.207,"4"
13,2,0,1.818,"4"
13,2,1,1.486,"4"
13,2,8,1.047,"4"
13,2,32,1.098,"4"
13,3,0,1.82,"4"
13,3,1,1.435,"4"
13,3,8,1.148,"4"
13,3,32,1.12,"4"
13,4,0,1.833,"4"
13,4,1,1.455,"4"
13,4,8,1.062,"4"
13,4,32,0.683,"4"
13,5,0,1.804,"4"
13,5,1,1.24,"4"
13,5,8,1.16,"4"
13,5,32,0.916,"4"
13,6,0,1.787,"4"
13,6,1,1.252,"4"
13,6,8,1.156,"4"
13,6,32,0.729,"4"
13,7,0,1.787,"4"
13,7,1,1.291,"4"
13,7,8,1.01,"4"
13,7,32,0.788,"4"
13,8,0,1.778,"4"
13,8,1,1.376,"4"
13,8,8,1.219,"4"
13,8,32,0.996,"4"
13,9,0,1.749,"4"
13,9,1,1.336,"4"
13,9,8,1.199,"4"
13,9,32,1.24,"4"
13,10,0,1.736,"4"
13,10,1,1.576,"4"
13,10,8,1.377,"4"
13,10,32,1.34,"4"
13,11,0,1.771,"4"
13,11,1,1.442,"4"
13,11,8,1.24,"4"
13,11,32,0.929,"4"
13,12,0,1.769,"4"
13,12,1,1.513,"4"
13,12,8,1.341,"4"
13,12,32,0.987,"4"
14,1,0,1.898,"4"
14,1,1,1.596,"4"
14,1,8,1.175,"4"
14,1,32,1.115,"4"
14,2,0,1.89,"4"
14,2,1,1.701,"4"
14,2,8,1.205,"4"
14,2,32,1.093,"4"
14,3,0,1.883,"4"
14,3,1,1.587,"4"
14,3,8,1.192,"4"
14,3,32,1.028,"4"
14,4,0,1.891,"4"
14,4,1,1.652,"4"
14,4,8,1.21,"4"
14,4,32,1.171,"4"
14,5,0,1.884,"4"
14,5,1,1.455,"4"
14,5,8,1.139,"4"
14,5,32,1.1,"4"
14,6,0,1.877,"4"
14,6,1,1.53,"4"
14,6,8,1.063,"4"
14,6,32,0.837,"4"
14,7,0,1.876,"4"
14,7,1,1.523,"4"
14,7,8,0.871,"4"
14,7,32,0.88,"4"
14,8,0,1.879,"4"
14,8,1,1.503,"4"
14,8,8,0.897,"4"
14,8,32,0.65,"4"
14,9,0,1.862,"4"
14,9,1,1.275,"4"
14,9,8,1.106,"4"
14,9,32,0.962,"4"
14,10,0,1.82,"4"
14,10,1,1.303,"4"
14,10,8,0.968,"4"
14,10,32,1.046,"4"
14,11,0,1.844,"4"
14,11,1,1.196,"4"
14,11,8,1.127,"4"
14,11,32,0.968,"4"
14,12,0,1.799,"4"
14,12,1,1.422,"4"
14,12,8,0.884,"4"
14,12,32,0.877,"4"
15,1,0,1.674,"4"
15,1,1,1.454,"4"
15,1,8,0.575,"4"
15,1,32,0.403,"4"
15,2,0,1.665,"4"
15,2,1,1.464,"4"
15,2,8,0.312,"4"
15,2,32,0.365,"4"
15,3,0,1.67,"4"
15,3,1,1.398,"4"
15,3,8,0.248,"4"
15,3,32,0.311,"4"
15,4,0,1.664,"4"
15,4,1,1.333,"4"
15,4,8,0.375,"4"
15,4,32,0.135,"4"
15,5,0,1.643,"4"
15,5,1,1.458,"4"
15,5,8,0.263,"4"
15,5,32,0.132,"4"
15,6,0,1.666,"4"
15,6,1,1.38,"4"
15,6,8,0.273,"4"
15,6,32,0.171,"4"
15,7,0,1.672,"4"
15,7,1,1.425,"4"
15,7,8,0.214,"4"
15,7,32,0.126,"4"
15,8,0,1.706,"4"
15,8,1,1.437,"4"
15,8,8,0.228,"4"
15,8,32,0.197,"4"
15,9,0,1.661,"4"
15,9,1,1.426,"4"
15,9,8,0.287,"4"
15,9,32,0.415,"4"
15,10,0,1.663,"4"
15,10,1,1.409,"4"
15,10,8,0.747,"4"
15,10,32,0.44,"4"
15,11,0,1.664,"4"
15,11,1,1.505,"4"
15,11,8,0.772,"4"
15,11,32,0.404,"4"
15,12,0,1.68,"4"
15,12,1,1.601,"4"
15,12,8,0.531,"4"
15,12,32,0.165,"4"
16,1,0,1.871,"4"
16,1,1,1.815,"4"
16,1,8,1.2,"4"
16,1,32,1.102,"4"
