"line","rep","enviro","dataM","exper"
13,2,8,0.155,"4"
13,2,32,0.157,"4"
13,3,0,1.497,"4"
13,3,1,1.389,"4"
13,3,8,0.154,"4"
13,3,32,0.147,"4"
13,4,0,0.919,"4"
13,4,1,0.765,"4"
13,4,8,0.145,"4"
13,4,32,0.158,"4"
13,5,0,0.67,"4"
13,5,1,0.6,"4"
13,5,8,0.179,"4"
13,5,32,0.154,"4"
13,6,0,1.496,"4"
13,6,1,1.444,"4"
13,6,8,0.203,"4"
13,6,32,0.18,"4"
13,7,0,1.392,"4"
13,7,1,1.264,"4"
13,7,8,0.18,"4"
13,7,32,0.195,"4"
13,8,0,1.644,"4"
13,8,1,1.675,"4"
13,8,8,0.159,"4"
13,8,32,0.245,"4"
13,9,0,1.669,"4"
13,9,1,1.61,"4"
13,9,8,0.203,"4"
13,9,32,0.298,"4"
13,10,0,1.304,"4"
13,10,1,1.189,"4"
13,10,8,0.172,"4"
13,10,32,0.286,"4"
13,11,0,1.51,"4"
13,11,1,1.45,"4"
13,11,8,0.141,"4"
13,11,32,0.155,"4"
13,12,0,1.15,"4"
13,12,1,1.012,"4"
13,12,8,0.141,"4"
13,12,32,0.148,"4"
14,1,0,1.588,"4"
14,1,1,1.561,"4"
14,1,8,0.152,"4"
14,1,32,0.146,"4"
14,2,0,0.486,"4"
14,2,1,0.384,"4"
14,2,8,0.174,"4"
14,2,32,0.25,"4"
14,3,0,1.463,"4"
14,3,1,1.154,"4"
14,3,8,0.16,"4"
14,3,32,0.311,"4"
14,4,0,1.121,"4"
14,4,1,0.552,"4"
14,4,8,0.217,"4"
14,4,32,0.355,"4"
14,5,0,1.408,"4"
14,5,1,1.428,"4"
14,5,8,0.144,"4"
14,5,32,0.339,"4"
14,6,0,1.594,"4"
14,6,1,0.521,"4"
14,6,8,0.278,"4"
14,6,32,0.244,"4"
14,7,0,1.226,"4"
14,7,1,0.54,"4"
14,7,8,0.33,"4"
14,7,32,0.279,"4"
14,8,0,0.394,"4"
14,8,1,0.486,"4"
14,8,8,0.24,"4"
14,8,32,0.209,"4"
14,9,0,1.108,"4"
14,9,1,0.365,"4"
14,9,8,0.151,"4"
14,9,32,0.187,"4"
14,10,0,1.115,"4"
14,10,1,1.045,"4"
14,10,8,0.146,"4"
14,10,32,0.134,"4"
14,11,0,0.444,"4"
14,11,1,0.492,"4"
14,11,8,0.145,"4"
14,11,32,0.13,"4"
14,12,0,1.09,"4"
14,12,1,0.551,"4"
14,12,8,0.246,"4"
14,12,32,0.206,"4"
15,1,0,1.493,"4"
15,1,1,0.524,"4"
15,1,8,0.162,"4"
15,1,32,0.153,"4"
15,2,0,1.45,"4"
15,2,1,1.4,"4"
15,2,8,0.151,"4"
15,2,32,0.145,"4"
15,3,0,1.452,"4"
15,3,1,1.399,"4"
15,3,8,0.148,"4"
15,3,32,0.142,"4"
15,4,0,1.126,"4"
15,4,1,1.359,"4"
15,4,8,0.146,"4"
15,4,32,0.143,"4"
15,5,0,1.301,"4"
15,5,1,1.331,"4"
15,5,8,0.189,"4"
15,5,32,0.142,"4"
15,6,0,1.174,"4"
15,6,1,0.609,"4"
15,6,8,0.155,"4"
15,6,32,0.162,"4"
15,7,0,1.222,"4"
15,7,1,1.363,"4"
15,7,8,0.167,"4"
15,7,32,0.14,"4"
15,8,0,1.36,"4"
15,8,1,0.507,"4"
15,8,8,0.156,"4"
15,8,32,0.143,"4"
15,9,0,1.108,"4"
15,9,1,0.722,"4"
15,9,8,0.18,"4"
15,9,32,0.152,"4"
15,10,0,1.552,"4"
15,10,1,1.494,"4"
15,10,8,0.195,"4"
15,10,32,0.142,"4"
15,11,0,1.515,"4"
15,11,1,1.466,"4"
15,11,8,0.143,"4"
15,11,32,0.135,"4"
15,12,0,1.375,"4"
15,12,1,1.448,"4"
15,12,8,0.155,"4"
15,12,32,0.141,"4"
16,1,0,1.563,"4"
16,1,1,1.572,"4"
16,1,8,0.179,"4"
16,1,32,0.175,"4"
16,2,0,1.713,"4"
16,2,1,1.594,"4"
16,2,8,0.171,"4"
16,2,32,0.172,"4"
16,3,0,1.715,"4"
16,3,1,1.684,"4"
16,3,8,0.165,"4"
16,3,32,0.151,"4"
16,4,0,1.589,"4"
16,4,1,1.475,"4"
16,4,8,0.261,"4"
16,4,32,0.195,"4"
16,5,0,1.629,"4"
16,5,1,1.085,"4"
16,5,8,0.211,"4"
16,5,32,0.185,"4"
16,6,0,1.536,"4"
16,6,1,1.35,"4"
16,6,8,0.223,"4"
16,6,32,0.19,"4"
16,7,0,1.681,"4"
16,7,1,1.63,"4"
16,7,8,0.202,"4"
16,7,32,0.161,"4"
16,8,0,1.71,"4"
16,8,1,1.679,"4"
16,8,8,0.212,"4"
16,8,32,0.181,"4"
16,9,0,1.181,"4"
16,9,1,1.298,"4"
16,9,8,0.228,"4"
16,9,32,0.18,"4"
16,10,0,1.249,"4"
16,10,1,1.129,"4"
16,10,8,0.184,"4"
